Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52
Time,Extracellular.Covid,Extracellular.ACE2,Extracellular.ACE2:Covid,Extracellular.SARS_CoV_2,Cell.Covid_transcribed,Cell.ribosome,Cell.Ribosome:Covid,Cell.nsp1,Cell.S,Cell.MDA5,Cell.d_IRF37_p,Cell.early_RNA,Cell.IFN_1,Cell.early_ISG_product,Cell.d_STAT12_p,Cell.IRF9,Cell.ISGF3,Cell.ISG_RNA,Cell.ISG_product,Cell.MDA5:dsRNA,Cell.SARS_CoV_2,Cell.OAS_1_mRNA,Cell.pppa(2'p5'A)n,Cell.RNaseL_act,Cell.RNaseL_inact,Cell.PKR_mRNA,Cell.PKR_act,Cell.EIF2a,Cell.EIF2a_act,Cell.Covid_local,Cell.ribosome:early_RNA,Cell.Ribosome:OAS_1_mRNA,Cell.OAS_1,Cell.Ribosome:PKR_mRNA,Cell.PKR_inac,Cell.Ribosome:ISG_RNA,Cell.nsp8,Cell.nsp9,Cell.nsp16,Cell.dsRNA_frag,Cell.E,Cell.M,Cell.N,Nucelus.d_IRF37_p,Nucelus.Early_ISG_RNA,Nucelus.ISGF3,Nucelus.ISG_RNA,Nucelus.OAS_1_mRNA_nuc,Nucelus.PKR_mRNA_Nuc,BU2.trans1_B,BU2.trans1_U
38.87598865,70.75194095,50,1771.587184,1765.787114,28.10938814,1000,1754.685232,66205.02669,2.81084538,1.915735104e-12,-7.617997187e-10,0.001120689026,0.1924709385,0.8781903003,0.001074055491,0.3153546937,0.0001824209738,0.0002183330515,1.694027901e-06,-6.52033641e-11,1760.227627,0.03780841575,0.0002784667287,9.90310546e-06,0.9997214801,0.03780841575,0.0002689333358,0.9997309473,2.688611451e-07,1777.182249,1.120689035,36.84710961,9.898877684e-06,36.84710961,9.55888676e-06,0.2182585018,66196.51958,66205.02669,66205.02669,3.437427371,2.81084538,2.81084538,2.81084538,-4.50984381e-09,-1.748606598e-08,6.38641733e-05,7.461188099e-05,1.000074612,1.000074612,1,1
40.95908062,70.28943995,50,1760.006706,1754.243977,27.92586936,1000,1743.214418,69848.23728,2.810839364,-6.367773778e-13,-1.547351382e-10,0.001120671877,0.1924822059,0.878207463,0.0007980077826,0.3150727507,0.0001353580019,0.0002184447786,1.604088664e-06,9.832739584e-12,1748.720374,0.03980620992,0.0002782251772,9.959215221e-06,0.9997217482,0.03980620992,0.0002686338858,0.9997312951,2.685618245e-07,1765.565137,1.120671883,38.8469189,9.956728647e-06,38.8469189,9.612583512e-06,0.2183895374,69839.72318,69848.23728,69848.23728,3.438006956,2.810839364,2.810839364,2.810839364,-2.05421936e-09,-1.36595672e-08,4.737242971e-05,5.528697303e-05,1.000055287,1.000055287,1,1
43.0421726,69.82993703,50,1748.501176,1742.775808,27.7435446,1000,1731.819156,73467.63151,2.810833684,3.920359513e-12,4.117621543e-10,0.001120655596,0.1924929015,0.8782237553,0.000593932207,0.3148630783,0.0001006033119,0.0002185270662,1.523571816e-06,3.632081243e-11,1737.288666,0.04179982591,0.0002780681561,1.001883919e-05,0.9997219133,0.04179982591,0.000268419976,0.9997315495,2.683480028e-07,1754.023868,1.120655581,40.84254074,1.001785726e-05,40.84254074,9.669405109e-06,0.2184860608,73459.11078,73467.63151,73467.63151,3.438586121,2.810833684,2.810833684,2.810833684,2.216209949e-09,7.294780819e-09,3.519872073e-05,4.103909208e-05,1.000041039,1.000041039,1,1
45.12526457,69.37344058,50,1737.070571,1731.383043,27.56239419,1000,1720.498099,77063.36558,2.810828286,1.953851579e-12,1.612839403e-10,0.001120640101,0.1925030835,0.8782392661,0.0004431243401,0.3147069418,7.495397792e-05,0.0002185875805,1.451091737e-06,3.729388647e-12,1725.932105,0.04378927989,0.0002779818488,1.008170377e-05,0.9997220443,0.04378927989,0.0002682784247,0.9997317258,2.682065049e-07,1742.557315,1.120640085,42.8339927,1.008189022e-05,42.8339927,9.728988232e-06,0.2185570773,77054.83854,77063.36558,77063.36558,3.439165038,2.810828286,2.810828286,2.810828286,1.544236987e-09,8.832939337e-09,2.621339507e-05,3.052795057e-05,1.000030528,1.000030528,1,1
47.20835655,68.91994328,50,1725.715157,1720.065018,27.38240779,1000,1709.250411,80635.59364,2.810823102,-3.200425792e-12,-1.641093204e-10,0.001120625313,0.192512802,0.8782540711,0.0003315916342,0.3145903226,5.602626344e-05,0.0002186320474,1.385513958e-06,-1.415350471e-11,1714.649363,0.04577458611,0.0002779616799,1.01471508e-05,0.9997221144,0.04577458611,0.0002681986729,0.9997318353,2.681267764e-07,1731.165616,1.120625308,44.82129,1.0148515e-05,44.82129,9.79102979e-06,0.2186092976,80627.06058,80635.59364,80635.59364,3.439743845,2.810823102,2.810823102,2.810823102,-7.492842825e-10,-1.584931178e-09,1.958250221e-05,2.276801498e-05,1.000022768,1.000022768,1,1
49.29144852,68.46940299,50,1714.434087,1708.820477,27.20358986,1000,1698.076317,84184.4686,2.810818128,2.55091369e-13,-9.807024506e-11,0.001120611162,0.1925221001,0.8782682361,0.0002489868099,0.3145028508,4.202545691e-05,0.0002186647141,1.325916705e-06,-5.3455168e-12,1703.439859,0.04775575732,0.0002779995375,1.021507945e-05,0.9997221021,0.04775575732,0.000268172151,0.9997318873,2.681002517e-07,1719.848839,1.12061116,46.80444612,1.021747997e-05,46.80444612,9.855285426e-06,0.2186476926,84175.92978,84184.4686,84184.4686,3.440322667,2.810818128,2.810818128,2.810818128,-8.489440802e-10,-4.488160157e-09,1.46807272e-05,1.703490328e-05,1.000017035,1.000017035,1,1
51.37454049,68.02178944,50,1703.226235,1697.649059,27.02593741,1000,1686.97567,87710.14325,2.81081339,2.742799096e-12,6.387418231e-11,0.001120597592,0.1925310149,0.8782818177,0.0001877496053,0.3144369468,3.164417148e-05,0.0002186886833,1.271536858e-06,5.733121226e-12,1692.30382,0.0497328051,0.000278085173,1.028547653e-05,0.9997220303,0.0497328051,0.000268191781,0.9997318897,2.681198565e-07,1708.606,1.120597586,48.78347322,1.028858393e-05,48.78347322,9.921558439e-06,0.2186759009,87701.5989,87710.14325,87710.14325,3.440901615,2.81081339,2.81081339,2.81081339,2.281646774e-10,-8.590697305e-12,1.10467789e-05,1.279214529e-05,1.000012792,1.000012792,1,1
54.14003812,67.432058,50,1688.459589,1682.931001,26.7918633,1000,1672.350342,92355.21762,2.810807389,5.016766737e-14,1.114712041e-10,0.001120580395,0.1925423136,0.8782990317,0.0001300197591,0.3143733017,2.186580226e-05,0.000218710921,1.206304645e-06,8.159109632e-12,1677.632405,0.05235116674,0.0002782618973,1.038186322e-05,0.999721876,0.05235116674,0.0002682791368,0.9997318275,2.682071487e-07,1693.792945,1.120580384,51.4044546,1.038599665e-05,51.4044546,1.001237732e-05,0.2187021323,92346.66627,92355.21762,92355.21762,3.441670577,2.810807389,2.810807389,2.810807389,8.447646447e-10,4.038406779e-09,7.622462349e-06,8.79504412e-06,1.000008795,1.000008795,1,1
56.90553574,66.8474518,50,1673.821285,1668.340833,26.55979579,1000,1657.851161,96960.0207,2.810801655,-3.428453658e-12,-1.738759035e-11,0.001120564039,0.1925530595,0.878315404,9.11640573e-05,0.3143288195,1.527430351e-05,0.0002187255064,1.147896399e-06,-1.613927718e-12,1663.087872,0.05496230328,0.0002785010918,1.048137551e-05,0.9997216665,0.05496230328,0.0002684262802,0.9997317016,2.68354199e-07,1679.10804,1.120564032,54.01820236,1.048656189e-05,54.01820236,1.010614991e-05,0.2187194078,96951.4627,96960.0207,96960.0207,3.442440115,2.810801655,2.810801655,2.810801655,3.388984952e-11,9.496521914e-10,5.316342084e-06,6.10272955e-06,1.000006103,1.000006103,1,1
59.67103336,66.26790559,50,1659.309956,1653.876663,26.32972933,1000,1643.477695,101524.9007,2.810796173,1.377951512e-12,-5.548175811e-11,0.00112054844,0.1925633081,0.8783310193,6.506788327e-05,0.3142973566,1.085126171e-05,0.0002187349284,1.095300577e-06,-6.22170735e-12,1648.668919,0.05756623698,0.0002787945833,1.058420019e-05,0.9997213948,0.05756623698,0.0002686241736,0.9997315218,2.685519741e-07,1664.550815,1.120548436,56.6247392,1.059000879e-05,56.6247392,1.020261187e-05,0.2187306345,101516.3363,101524.9007,101524.9007,3.443210387,2.810796173,2.810796173,2.810796173,-3.980497893e-10,-1.787767808e-09,3.76827916e-06,4.296577157e-06,1.000004297,1.000004297,1,1
62.43653098,65.69336537,50,1644.923903,1639.537513,26.10165128,1000,1629.229168,106050.2036,2.810790965,2.843737638e-12,2.142526296e-12,0.001120533523,0.1925731072,0.8783459502,4.748013247e-05,0.3142746371,7.886862184e-06,0.000218740916,1.04769121e-06,6.205891741e-13,1634.37512,0.0601629893,0.0002791342405,1.068982164e-05,0.9997210683,0.0601629893,0.0002688654707,0.9997312959,2.687931312e-07,1650.119702,1.120533519,59.22408689,1.069612225e-05,59.22408689,1.030155255e-05,0.2187378313,106041.6332,106050.2036,106050.2036,3.443981532,2.810790965,2.810790965,2.810790965,-5.731206692e-11,-6.649409544e-10,2.73053469e-06,3.086410979e-06,1.000003086,1.000003086,1,1
65.2020286,65.12380687,50,1630.662373,1625.32292,25.87553644,1000,1615.10392,110536.2728,2.810785987,-3.205721922e-12,2.618148137e-11,0.001120519228,0.1925824979,0.8783602594,3.553206868e-05,0.3142577706,5.877790525e-06,0.0002187446454,1.004398791e-06,5.081508009e-12,1620.205442,0.06275258111,0.0002795133376,1.079760615e-05,0.999720702,0.06275258111,0.0002691441732,0.9997310306,2.690716748e-07,1635.813196,1.120519222,61.81626652,1.080475361e-05,61.81626652,1.040282472e-05,0.2187423762,110527.6966,110536.2728,110536.2728,3.44475367,2.810785987,2.810785987,2.810785987,1.771964081e-10,7.665090733e-10,2.028793828e-06,2.270284534e-06,1.00000227,1.00000227,1,1
67.96752623,64.55919286,50,1616.52474,1611.231627,25.65136722,1000,1601.100721,114983.448,2.810781155,-1.792593811e-12,6.112869809e-13,0.001120505499,0.1925915162,0.8783740015,2.736189303e-05,0.3142448766,4.49950355e-06,0.0002187468787,9.648703854e-07,-1.556267428e-12,1606.158263,0.06533503282,0.0002799270315,1.090794924e-05,0.9997203024,0.06533503282,0.0002694553327,0.9997307312,2.69382659e-07,1621.630673,1.120505494,64.40129866,1.09157693e-05,64.40129866,1.050629608e-05,0.2187451662,114974.8662,114983.448,114983.448,3.445526902,2.810781155,2.810781155,2.810781155,3.720103094e-11,3.731980528e-10,1.547567955e-06,1.713121091e-06,1.000001713,1.000001713,1,1
72.29919212,63.68463243,50,1594.626383,1589.404705,25.30413006,1000,1579.410808,121871.7984,2.810773967,1.40864011e-12,-3.066123696e-11,0.001120485023,0.192604967,0.8783944987,1.923357081e-05,0.3142297019,3.131391833e-06,0.0002187485496,9.09423128e-07,-5.680196436e-12,1584.399809,0.06936568695,0.0002806349202,1.108579362e-05,0.999719613,0.06936568695,0.0002699982701,0.9997302037,2.699252932e-07,1599.663119,1.120485019,68.43597997,1.10941358e-05,68.43597997,1.067248052e-05,0.2187473899,121863.2083,121871.7984,121871.7984,3.446740445,2.810773967,2.810773967,2.810773967,-1.811589518e-10,-6.494043916e-10,1.069538932e-06,1.159873535e-06,1.00000116,1.00000116,1,1
